HourNum	Date	O3Level
1249	20000222	0.031
1250	20000222	0.027
1251	20000222	0.028
1252	20000222	0.023
1253	20000222	0.017
1254	20000222	0.016
1255	20000222	0.025
1256	20000222	0.025
1257	20000222	0.018
1258	20000222	0.017
1259	20000222	0.021
1260	20000222	0.024
1261	20000223	0.021
1262	20000223	0.027
1263	20000223	0.032
1264	20000223	0.033
1265	20000223	0.027
1266	20000223	0.023
1267	20000223	0.021
1268	20000223	0.022
1269	20000223	0.029
1270	20000223	0.039
1271	20000223	0.047
1272	20000223	0.054
1273	20000223	0.06
1274	20000223	0.064
1275	20000223	0.062
1276	20000223	0.06
1277	20000223	0.055
1278	20000223	0.047
1279	20000223	0.048
1280	20000223	0.038
1281	20000223	0.043
1282	20000223	0.037
1283	20000223	0.047
1284	20000223	0.04
1285	20000224	0.037
1286	20000224	0.04
1287	20000224	0.04
1288	20000224	0.041
1289	20000224	0.035
1290	20000224	0.038
1291	20000224	0.03
1292	20000224	0.03
1293	20000224	0.026
1294	20000224	0.021
1295	20000224	0.023
1296	20000224	0.02
1297	20000224	0.018
1298	20000224	0.024
1299	20000224	0.025
1300	20000224	0.029
1301	20000224	0.022
1302	20000224	0.021
1303	20000224	0.016
1304	20000224	0.013
1305	20000224	0.006
1306	20000224	0.005
1307	20000224	0.005
1308	20000224	0.005
1309	20000225	0.005
1310	20000225	0.005
1311	20000225	0.005
1312	20000225	0.004
1313	20000225	0.004
1314	20000225	0.004
1315	20000225	0.004
1316	20000225	0.005
1317	20000225	0.005
1318	20000225	0.006
1319	20000225	0.012
1320	20000225	0.029
1321	20000225	0.034
1322	20000225	0.04
1323	20000225	0.041
1324	20000225	0.034
1325	20000225	0.026
1326	20000225	0.02
1327	20000225	0.023
1328	20000225	0.032
1329	20000225	0.037
1330	20000225	0.037
1331	20000225	0.034
1332	20000226	0.033
1333	20000226	0.034
1334	20000226	0.034
1335	20000226	0.034
1336	20000226	0.033
1337	20000226	0.031
1338	20000226	0.03
1339	20000226	0.026
1340	20000226	0.026
1341	20000226	0.029
1342	20000226	0.035
1343	20000226	0.038
1344	20000226	0.036
1345	20000226	0.035
1346	20000226	0.037
1347	20000226	0.038
1348	20000226	0.038
1349	20000226	0.039
1350	20000226	0.036
1351	20000226	0.035
1352	20000226	0.034
1353	20000226	0.031
1354	20000226	0.031
1355	20000226	0.026
